2025-06-23 12:20:55,118 - WARNING - TRT engine path '' is invalid. Falling back to plain model.
2025-06-23 12:29:07,882 - INFO - Inference time: 0.349557 ms, MSE: 0.223305
2025-06-23 12:29:08,255 - INFO - Inference time: 0.362253 ms, MSE: 0.222992
2025-06-23 12:29:08,634 - INFO - Inference time: 0.374268 ms, MSE: 0.222846
2025-06-23 12:29:08,993 - INFO - Inference time: 0.353602 ms, MSE: 0.221738
2025-06-23 12:29:09,352 - INFO - Inference time: 0.349100 ms, MSE: 0.221495
2025-06-23 12:29:09,707 - INFO - Inference time: 0.350175 ms, MSE: 0.220588
2025-06-23 12:29:10,073 - INFO - Inference time: 0.355375 ms, MSE: 0.221070
2025-06-23 12:29:10,441 - INFO - Inference time: 0.362233 ms, MSE: 0.221583
2025-06-23 12:29:10,811 - INFO - Inference time: 0.365283 ms, MSE: 0.222456
2025-06-23 12:29:11,183 - INFO - Inference time: 0.362551 ms, MSE: 0.220962
2025-06-23 12:29:11,551 - INFO - Inference time: 0.362874 ms, MSE: 0.221362
2025-06-23 12:29:11,934 - INFO - Inference time: 0.377942 ms, MSE: 0.220851
2025-06-23 12:29:12,300 - INFO - Inference time: 0.349540 ms, MSE: 0.221542
2025-06-23 12:29:12,656 - INFO - Inference time: 0.350692 ms, MSE: 0.221588
2025-06-23 12:29:13,014 - INFO - Inference time: 0.348534 ms, MSE: 0.221691
2025-06-23 12:29:13,381 - INFO - Inference time: 0.361609 ms, MSE: 0.220550
2025-06-23 12:29:13,742 - INFO - Inference time: 0.356111 ms, MSE: 0.221588
2025-06-23 12:29:14,117 - INFO - Inference time: 0.349953 ms, MSE: 0.221346
2025-06-23 12:29:14,470 - INFO - Inference time: 0.348495 ms, MSE: 0.220994
2025-06-23 12:29:14,825 - INFO - Inference time: 0.349715 ms, MSE: 0.220736
2025-06-23 12:29:15,204 - INFO - Inference time: 0.373639 ms, MSE: 0.221186
2025-06-23 12:29:15,579 - INFO - Inference time: 0.365215 ms, MSE: 0.221147
2025-06-23 12:29:15,961 - INFO - Inference time: 0.362090 ms, MSE: 0.221714
2025-06-23 12:29:16,329 - INFO - Inference time: 0.362827 ms, MSE: 0.221097
2025-06-23 12:29:16,697 - INFO - Inference time: 0.363586 ms, MSE: 0.220505
2025-06-23 12:29:17,057 - INFO - Inference time: 0.354786 ms, MSE: 0.220765
2025-06-23 12:29:17,424 - INFO - Inference time: 0.351812 ms, MSE: 0.220916
2025-06-23 12:29:17,789 - INFO - Inference time: 0.354682 ms, MSE: 0.220884
2025-06-23 12:29:18,155 - INFO - Inference time: 0.360611 ms, MSE: 0.220677
2025-06-23 12:29:18,535 - INFO - Inference time: 0.369830 ms, MSE: 0.220084
2025-06-23 12:29:18,895 - INFO - Inference time: 0.354531 ms, MSE: 0.220762
2025-06-23 12:29:18,895 - INFO - Average MSE: 0.222179, Average inference time: 0.431586 ms
2025-06-23 12:29:18,895 - INFO - Folder Mode: 26337.611867 ms
2025-06-23 12:29:39,493 - WARNING - TRT engine path '' is invalid. Falling back to plain model.
2025-06-23 12:29:39,493 - WARNING - TensorRT unavailable, falling back to plain model: 
2025-06-23 12:29:46,197 - INFO - Inference time: 4.058924 ms, MSE: 0.230924
2025-06-23 12:29:46,602 - INFO - Inference time: 0.402352 ms, MSE: 0.232509
2025-06-23 12:29:46,958 - INFO - Inference time: 0.350822 ms, MSE: 0.232899
2025-06-23 12:29:47,313 - INFO - Inference time: 0.352384 ms, MSE: 0.233792
2025-06-23 12:29:47,688 - INFO - Inference time: 0.364965 ms, MSE: 0.231978
2025-06-23 12:29:48,049 - INFO - Inference time: 0.355927 ms, MSE: 0.232664
2025-06-23 12:29:48,407 - INFO - Inference time: 0.352483 ms, MSE: 0.236300
2025-06-23 12:29:48,770 - INFO - Inference time: 0.353364 ms, MSE: 0.238487
2025-06-23 12:29:49,134 - INFO - Inference time: 0.358392 ms, MSE: 0.241774
2025-06-23 12:29:49,492 - INFO - Inference time: 0.353586 ms, MSE: 0.241281
2025-06-23 12:29:49,849 - INFO - Inference time: 0.355373 ms, MSE: 0.243237
2025-06-23 12:29:50,202 - INFO - Inference time: 0.350565 ms, MSE: 0.243538
2025-06-23 12:29:50,573 - INFO - Inference time: 0.361435 ms, MSE: 0.243082
2025-06-23 12:29:50,947 - INFO - Inference time: 0.371157 ms, MSE: 0.242691
2025-06-23 12:29:51,317 - INFO - Inference time: 0.366687 ms, MSE: 0.249195
2025-06-23 12:29:51,679 - INFO - Inference time: 0.351828 ms, MSE: 0.249913
2025-06-23 12:29:52,034 - INFO - Inference time: 0.349751 ms, MSE: 0.246450
2025-06-23 12:29:52,396 - INFO - Inference time: 0.357434 ms, MSE: 0.252458
2025-06-23 12:29:52,754 - INFO - Inference time: 0.352985 ms, MSE: 0.246475
2025-06-23 12:29:53,110 - INFO - Inference time: 0.351364 ms, MSE: 0.242464
2025-06-23 12:29:53,469 - INFO - Inference time: 0.348970 ms, MSE: 0.242135
2025-06-23 12:29:53,824 - INFO - Inference time: 0.350648 ms, MSE: 0.243110
2025-06-23 12:29:54,225 - INFO - Inference time: 0.393414 ms, MSE: 0.245605
2025-06-23 12:29:54,603 - INFO - Inference time: 0.373130 ms, MSE: 0.244317
2025-06-23 12:29:54,982 - INFO - Inference time: 0.368285 ms, MSE: 0.244479
2025-06-23 12:29:55,365 - INFO - Inference time: 0.373096 ms, MSE: 0.243079
2025-06-23 12:29:55,757 - INFO - Inference time: 0.386332 ms, MSE: 0.242879
2025-06-23 12:29:56,123 - INFO - Inference time: 0.361748 ms, MSE: 0.246955
2025-06-23 12:29:56,490 - INFO - Inference time: 0.358239 ms, MSE: 0.246030
2025-06-23 12:29:56,862 - INFO - Inference time: 0.366374 ms, MSE: 0.245625
2025-06-23 12:29:57,237 - INFO - Inference time: 0.370321 ms, MSE: 0.245005
2025-06-23 12:29:57,606 - INFO - Inference time: 0.364484 ms, MSE: 0.245264
2025-06-23 12:29:57,964 - INFO - Inference time: 0.352720 ms, MSE: 0.243012
2025-06-23 12:29:58,325 - INFO - Inference time: 0.350971 ms, MSE: 0.242717
2025-06-23 12:29:58,680 - INFO - Inference time: 0.350082 ms, MSE: 0.244035
2025-06-23 12:29:59,048 - INFO - Inference time: 0.362765 ms, MSE: 0.244478
2025-06-23 12:29:59,416 - INFO - Inference time: 0.362120 ms, MSE: 0.246287
2025-06-23 12:29:59,771 - INFO - Inference time: 0.350814 ms, MSE: 0.245222
2025-06-23 12:30:00,131 - INFO - Inference time: 0.349604 ms, MSE: 0.244320
